entity,timestamp,Temperature,TemperatureSpectralScore,SaliencyAnomalyScore,TemperatureFFTScore,TemperatureKmeansScore,MatrixProfileAnomalyScore
MyRoom,2017-10-10 14:32:00,25.6875,3.6995601494093604,27.481992302382835,27.528953236839005,0.7895521695142719,0.4677071733467428
MyRoom,2017-10-10 14:33:00,25.625,3.4463915732464008,30.915285030893383,30.929033265443444,0.9231286351586867,0.4759858191164943
MyRoom,2017-10-10 14:34:00,25.5,3.193222997083441,30.50225141936538,30.547215187979784,0.97594343921896,0.4419417382415922
MyRoom,2017-10-10 14:35:00,25.875,2.9400544209204815,34.9000099300779,34.862902448527265,0.928256239006327,0.42847841252506524
MyRoom,2017-10-10 14:36:00,25.5,2.686885844757522,37.92438041115165,37.95117240988771,0.889161241067398,0.3535533905932738
MyRoom,2017-10-10 14:37:00,25.3125,2.4337172685945623,37.73639556831697,37.741529307613895,0.8297293032703802,0.369754986443726
MyRoom,2017-10-10 14:38:00,25.375,2.1805486924316027,32.762131383478696,32.761818081043124,0.728476076967455,0.385275875185561
MyRoom,2017-10-10 14:39:00,25.5625,2.4695334048929696,30.097479490857538,30.13491036185287,0.6593613176691041,0.385275875185561
MyRoom,2017-10-10 14:40:00,25.1875,2.758518117354337,33.84811463420491,33.865253100872955,0.7015467408583039,0.385275875185561
MyRoom,2017-10-10 14:41:00,25.25,3.047502829815704,35.44675128070398,35.45904887555512,0.72714267455018,0.3423265984407288
MyRoom,2017-10-10 14:42:00,25.375,3.3364875422770712,21.513234084588536,21.513747037416856,0.6247425529901083,0.31868871959954903
MyRoom,2017-10-10 14:43:00,25.3125,3.625472254738438,15.477276981598836,15.520574394517391,0.6066895089620098,0.3423265984407288
MyRoom,2017-10-10 14:44:00,25.3125,3.914456967199805,19.09766081648477,19.1150275996331,0.7016320409943416,0.3801726581436294
MyRoom,2017-10-10 14:45:00,25.0625,3.9886884992981564,20.144869610593773,20.183563337668406,0.7583981406644276,0.34232659844070806
MyRoom,2017-10-10 14:46:00,25.3125,4.062920031396508,14.693797985898538,14.726115283402397,0.6762196319974942,0.3479852726768662
MyRoom,2017-10-10 14:47:00,25.3125,4.137151563494859,13.182988214349473,13.218541111754831,0.6382789359713178,0.3307189138830953
MyRoom,2017-10-10 14:48:00,25.25,4.21138309559321,13.359073354199507,13.347646064156862,0.6201634926883725,0.2651650429449553
MyRoom,2017-10-10 14:49:00,25.0,4.285614627691562,12.673628987954846,12.680741440284864,0.5549276366732967,0.23385358667337133
MyRoom,2017-10-10 14:50:00,25.1875,4.359846159789913,11.765736759380431,11.779443176651073,0.4936067450027232,0.2651650429449553
MyRoom,2017-10-10 14:51:00,25.125,4.499657268236071,10.792766155034213,10.787574374656293,0.4447045468716089,0.28641098093474
MyRoom,2017-10-10 14:52:00,25.0625,4.639468376682229,9.445145948883887,9.437589456529054,0.43314664745156517,0.2864109809347648
MyRoom,2017-10-10 14:53:00,25.125,4.779279485128387,8.979987288325733,8.988220318222016,0.3820678401028904,0.30618621784789724
MyRoom,2017-10-10 14:54:00,25.0625,4.919090593574545,7.039923760326671,7.046076954052589,0.29823983822507716,0.29973947020704494
MyRoom,2017-10-10 14:55:00,25.125,5.058901702020703,5.074992208905066,5.093573496546375,0.23375304292958837,0.28641098093474
MyRoom,2017-10-10 14:56:00,25.1875,5.198712810466861,6.426545696173361,6.422737245879694,0.2655336294035648,0.2651650429449553
MyRoom,2017-10-10 14:57:00,25.0625,5.08879518665149,7.836483279951533,7.8501010616701565,0.31330730546467134,0.3423265984407288
MyRoom,2017-10-10 14:58:00,25.0,4.978877562836119,8.21091595516965,8.226069005796294,0.34166830853822316,0.3423265984407288
MyRoom,2017-10-10 14:59:00,25.0625,4.868959939020748,8.164930310979296,8.180119816368869,0.3515861051846723,0.3535533905932738
MyRoom,2017-10-10 15:00:00,25.125,4.759042315205377,11.011715269436829,10.99789388569139,0.4433455860806279,0.3644344934278313
MyRoom,2017-10-10 15:01:00,24.875,4.649124691390006,13.47996241270732,13.480382039532348,0.5486051701449473,0.29973947020704494
MyRoom,2017-10-10 15:02:00,24.875,4.539207067574635,13.946298123045079,13.953824979536163,0.6137385693782886,0.31249999999997724
MyRoom,2017-10-10 15:03:00,24.9375,4.57273170361447,12.362041915869696,12.377879677365636,0.6296652918529667,0.31868871959954903
MyRoom,2017-10-10 15:04:00,25.0,4.606256339654304,11.667408830219793,11.654457257875704,0.6694769638815656,0.33071891388305236
MyRoom,2017-10-10 15:05:00,24.75,4.639780975694139,11.687090129711892,11.691761578035692,0.6926662189440014,0.3801726581436387
MyRoom,2017-10-10 15:06:00,24.75,4.673305611733974,12.392890669534196,12.408777801442094,0.6354525050310817,0.3590351654086268
MyRoom,2017-10-10 15:07:00,24.8125,4.706830247773808,9.27717668391699,9.28096665001668,0.5176467542466119,0.3423265984407288
MyRoom,2017-10-10 15:08:00,24.9375,4.740354883813643,9.0284063894816,9.013420542297132,0.4715667154282077,0.29315098498896436
MyRoom,2017-10-10 15:09:00,24.8125,4.504376646353952,9.870855039937002,9.876995577790366,0.4646793483008107,0.28641098093474
MyRoom,2017-10-10 15:10:00,24.875,4.268398408894261,10.240642088448551,10.230879248522823,0.43109856364736227,0.375
MyRoom,2017-10-10 15:11:00,24.6875,4.03242017143457,16.854442329330627,16.87456898032481,0.4724113502195047,0.369754986443726
MyRoom,2017-10-10 15:12:00,24.8125,3.7964419339748794,20.293776379019818,20.306385998225792,0.5302770824451916,0.3247595264191645
MyRoom,2017-10-10 15:13:00,24.6875,3.5604636965151886,20.361795172799667,20.41049456376591,0.5492524322164005,0.29973947020704494
MyRoom,2017-10-10 15:14:00,24.875,3.3244854590554977,21.268509252469038,21.25643804846266,0.5461555237358826,0.30618621784789724
MyRoom,2017-10-10 15:15:00,24.6875,3.323993029607416,21.26758215223094,21.24464275274798,0.5539706235886588,0.375
MyRoom,2017-10-10 15:16:00,24.375,3.323500600159334,21.192000902788912,21.22732000909837,0.5523142169001494,0.3801726581436387
MyRoom,2017-10-10 15:17:00,24.5,3.323008170711252,21.767516475775853,21.84500987386502,0.5958280002695759,0.414578098794425
MyRoom,2017-10-10 15:18:00,24.625,3.32251574126317,22.95821254740896,23.011160381260108,0.6613740713744187,0.42389562394532926
MyRoom,2017-10-10 15:19:00,24.75,3.322023311815088,22.41497260434735,22.41545469457484,0.6904971802281741,0.409839907768875
MyRoom,2017-10-10 15:20:00,24.5,3.321530882367006,22.574832681163233,22.58175625297607,0.7370693957139193,0.3535533905932738
MyRoom,2017-10-10 15:21:00,24.6875,3.6234985576898757,18.924637608552224,18.907283055228387,0.6300211380875003,0.3801726581436387
MyRoom,2017-10-10 15:22:00,24.4375,3.9254662330127457,16.393919879551177,16.384298193673008,0.5284759961770129,0.28641098093474
MyRoom,2017-10-10 15:23:00,24.4375,4.227433908335615,14.83010510304236,14.85380265233188,0.5210386566862703,0.28641098093474
MyRoom,2017-10-10 15:24:00,24.5625,4.529401583658485,15.072554925237363,15.082266926063827,0.5473717479406159,0.28641098093474
MyRoom,2017-10-10 15:25:00,24.4375,4.831369258981354,15.102089533916333,15.12432709821611,0.5329776617081613,0.28641098093474
MyRoom,2017-10-10 15:26:00,24.3125,5.133336934304224,12.976943521098661,12.997046771563067,0.4759522110121456,0.28641098093474
MyRoom,2017-10-10 15:27:00,24.375,4.988199059226753,12.252793118182934,12.268076926944461,0.48130125967732823,0.28641098093474
MyRoom,2017-10-10 15:28:00,24.3125,4.843061184149283,9.712270626715954,9.725551282337063,0.4252213815460575,0.34798527267687634
MyRoom,2017-10-10 15:29:00,24.25,4.697923309071812,9.14606699067907,9.151241719959154,0.43420578758699546,0.34798527267687634
MyRoom,2017-10-10 15:30:00,24.3125,4.552785433994341,10.321929055163,10.342328401712487,0.45361547775274036,0.3535533905932738
MyRoom,2017-10-10 15:31:00,24.1875,4.407647558916871,8.441606406280734,8.448129176407498,0.45235136470824766,0.3801726581436387
MyRoom,2017-10-10 15:32:00,24.25,4.2625096838394,7.837602116052237,7.837725511969038,0.4852420193404705,0.39528470752104744
MyRoom,2017-10-10 15:33:00,24.4375,4.276910654842654,8.0094694551895,8.015401789024379,0.49760631654813947,0.29315098498896436
MyRoom,2017-10-10 15:34:00,24.25,4.291311625845909,10.383111763399855,10.383702187064301,0.5735052767612894,0.30618621784789724
MyRoom,2017-10-10 15:35:00,24.4375,4.305712596849164,12.495285662357295,12.479688897626776,0.5850945915290997,0.34798527267687634
