deviceid,floatvalue,timestamp
CakebreadId_0128,38,01/29/2020 02:52,
CakebreadId_0128,36,01/29/2020 02:53,
CakebreadId_0128,33,01/29/2020 02:53,
CakebreadId_0128,38,01/29/2020 02:54,
CakebreadId_0128,36,01/29/2020 02:55,
CakebreadId_0128,30,01/29/2020 02:55,
CakebreadId_0128,38,01/29/2020 02:55,
CakebreadId_0128,39,01/29/2020 02:55,
CakebreadId_0128,38,01/29/2020 02:55,
CakebreadId_0128,37,01/29/2020 02:56,
CakebreadId_0128,32,01/29/2020 02:56,
CakebreadId_0128,36,01/29/2020 02:57,
CakebreadId_0128,38,01/29/2020 02:57,
CakebreadId_0128,37,01/29/2020 02:58,
CakebreadId_0128,34,01/29/2020 02:59,
CakebreadId_0128,29,01/29/2020 02:59,
CakebreadId_0128,37,01/29/2020 02:59,
CakebreadId_0128,35,01/29/2020 03:02,
CakebreadId_0128,33,01/29/2020 03:02,
CakebreadId_0128,34,01/29/2020 03:02,
CakebreadId_0128,37,01/29/2020 03:02,
CakebreadId_0128,35,01/29/2020 03:08,
CakebreadId_0128,32,01/29/2020 03:09,
CakebreadId_0128,36,01/29/2020 03:09,
CakebreadId_0128,38,01/29/2020 03:10,
CakebreadId_0128,35,01/29/2020 03:13,
CakebreadId_0128,33,01/29/2020 03:14,
CakebreadId_0128,37,01/29/2020 03:14,
CakebreadId_0128,38,01/29/2020 03:14,
CakebreadId_0128,40,01/29/2020 03:16,
CakebreadId_0128,42,01/29/2020 03:16,
CakebreadId_0128,41,01/29/2020 03:16,
CakebreadId_0128,42,01/29/2020 03:16,
CakebreadId_0128,37,01/29/2020 03:17,
CakebreadId_0128,38,01/29/2020 03:18,
CakebreadId_0128,37,01/29/2020 03:18,
CakebreadId_0128,34,01/29/2020 03:20,
CakebreadId_0128,33,01/29/2020 03:20,
CakebreadId_0128,26,01/29/2020 03:20,
CakebreadId_0128,36,01/29/2020 03:20,
CakebreadId_0128,38,01/29/2020 03:20,
CakebreadId_0128,37,01/29/2020 03:21,
CakebreadId_0128,38,01/29/2020 03:22,
CakebreadId_0128,37,01/29/2020 03:22,
CakebreadId_0128,38,01/29/2020 03:22,
CakebreadId_0128,37,01/29/2020 03:22,
CakebreadId_0128,38,01/29/2020 03:22,
CakebreadId_0128,36,01/29/2020 03:23,
CakebreadId_0128,34,01/29/2020 03:23,
CakebreadId_0128,25,01/29/2020 03:23,
CakebreadId_0128,34,01/29/2020 03:23,
CakebreadId_0128,38,01/29/2020 03:24,
CakebreadId_0128,35,01/29/2020 03:25,
CakebreadId_0128,30,01/29/2020 03:25,
CakebreadId_0128,38,01/29/2020 03:25,
CakebreadId_0128,35,01/29/2020 03:26,
CakebreadId_0128,31,01/29/2020 03:26,
CakebreadId_0128,38,01/29/2020 03:26,
CakebreadId_0128,37,01/29/2020 03:27,
CakebreadId_0128,29,01/29/2020 03:27,
CakebreadId_0128,36,01/29/2020 03:28,
CakebreadId_0128,38,01/29/2020 03:28,
CakebreadId_0128,36,01/29/2020 03:29,
CakebreadId_0128,31,01/29/2020 03:29,
CakebreadId_0128,38,01/29/2020 03:29,
CakebreadId_0128,30,01/29/2020 03:30,
CakebreadId_0128,37,01/29/2020 03:30,
CakebreadId_0128,39,01/29/2020 03:30,
CakebreadId_0128,34,01/29/2020 03:32,
CakebreadId_0128,23,01/29/2020 03:32,
CakebreadId_0128,34,01/29/2020 03:32,
CakebreadId_0128,39,01/29/2020 03:32,
CakebreadId_0128,36,01/29/2020 03:33,
CakebreadId_0128,32,01/29/2020 03:34,
CakebreadId_0128,39,01/29/2020 03:34,
CakebreadId_0128,38,01/29/2020 03:34,
CakebreadId_0128,37,01/29/2020 03:35,
CakebreadId_0128,34,01/29/2020 03:35,
CakebreadId_0128,28,01/29/2020 03:35,
CakebreadId_0128,38,01/29/2020 03:35,
CakebreadId_0128,33,01/29/2020 03:37,
CakebreadId_0128,34,01/29/2020 03:37,
CakebreadId_0128,38,01/29/2020 03:37,
CakebreadId_0128,37,01/29/2020 03:38,
CakebreadId_0128,34,01/29/2020 03:39,
CakebreadId_0128,27,01/29/2020 03:39,
CakebreadId_0128,37,01/29/2020 03:39,
CakebreadId_0128,39,01/29/2020 03:39,
CakebreadId_0128,38,01/29/2020 03:40,
CakebreadId_0128,37,01/29/2020 03:41,
CakebreadId_0128,34,01/29/2020 03:41,
CakebreadId_0128,33,01/29/2020 03:42,
CakebreadId_0128,38,01/29/2020 03:42,
CakebreadId_0128,37,01/29/2020 03:42,
CakebreadId_0128,36,01/29/2020 03:44,
CakebreadId_0128,34,01/29/2020 03:44,
CakebreadId_0128,37,01/29/2020 03:45,
CakebreadId_0128,35,01/29/2020 03:50,
CakebreadId_0128,33,01/29/2020 03:51,
CakebreadId_0128,36,01/29/2020 03:51,
CakebreadId_0128,38,01/29/2020 03:51,
CakebreadId_0128,37,01/29/2020 03:51,
CakebreadId_0128,38,01/29/2020 03:52,
CakebreadId_0128,37,01/29/2020 03:52,
CakebreadId_0128,35,01/29/2020 03:54,
CakebreadId_0128,34,01/29/2020 03:54,
CakebreadId_0128,38,01/29/2020 03:55,
CakebreadId_0128,35,01/29/2020 03:57,
CakebreadId_0128,33,01/29/2020 03:57,
CakebreadId_0128,37,01/29/2020 03:58,
