groupdId,edgeNodeId,timestamp,seq,metricName,metricTS,dataType,Val,timestamp_date,metricTS_date,SDEV,DELTA,$O-Anomaly,$O-AnomalyIndex,$O-PeerGroup,$O-Field-1,$O-FieldImpact-1,$O-Field-2,$O-FieldImpact-2,$O-Field-3,$O-FieldImpact-3
"Cakebread","RuthNorth",1561748294665,227,"TT_ProdRoom",1561748289669,"Float",69.576170,2019-06-28 18:58:14,2019-06-28 18:58:09,0.023396,0.050566,"F",0.716978,2,"SDEV",0.414076,"DELTA",0.413982,"Val",0.171943
"Cakebread","RuthNorth",1561745098752,121,"TT_ProdRoom",1561745068750,"Float",67.117805,2019-06-28 18:04:58,2019-06-28 18:04:28,0.005940,0.014065,"F",0.716304,2,"SDEV",0.413815,"DELTA",0.412965,"Val",0.173220
"Cakebread","RuthNorth",1561745098752,121,"TT_ProdRoom",1561745073750,"Float",67.124240,2019-06-28 18:04:58,2019-06-28 18:04:33,0.007098,0.016120,"F",0.715109,2,"SDEV",0.414176,"DELTA",0.413346,"Val",0.172478
"Cakebread","RuthNorth",1561748324674,228,"TT_ProdRoom",1561748299672,"Float",69.579994,2019-06-28 18:58:44,2019-06-28 18:58:19,0.016656,0.037140,"F",0.714628,2,"SDEV",0.413754,"DELTA",0.413125,"Val",0.173121
"Cakebread","RuthNorth",1561738763267,77,"TT_ProdRoom",1561738736859,"Float",62.533510,2019-06-28 16:19:23,2019-06-28 16:18:56,0.018722,0.041708,"F",0.714449,1,"Val",0.428990,"DELTA",0.325182,"SDEV",0.245829
"Cakebread","RuthNorth",1561736482155,39,"TT_ProdRoom",1561736466136,"Float",62.286560,2019-06-28 15:41:22,2019-06-28 15:41:06,0.003492,0.007465,"F",0.714158,1,"Val",0.743154,"DELTA",0.152053,"SDEV",0.104793
"Cakebread","RuthNorth",1561745098752,121,"TT_ProdRoom",1561745078752,"Float",67.130196,2019-06-28 18:04:58,2019-06-28 18:04:38,0.008024,0.018570,"F",0.714047,2,"SDEV",0.414565,"DELTA",0.413653,"Val",0.171782
"Cakebread","RuthNorth",1561740207295,101,"TT_ProdRoom",1561740192305,"Float",62.383972,2019-06-28 16:43:27,2019-06-28 16:43:12,0.001748,0.004098,"F",0.714007,1,"Val",0.604936,"DELTA",0.226163,"SDEV",0.168901
"Cakebread","RuthNorth",1561740327330,103,"TT_ProdRoom",1561740267330,"Float",62.403812,2019-06-28 16:45:27,2019-06-28 16:44:27,0.001482,0.003514,"F",0.713887,1,"Val",0.579165,"DELTA",0.240712,"SDEV",0.180123
"Cakebread","RuthNorth",1561742510106,35,"TT_ProdRoom",1561742502976,"Float",63.683098,2019-06-28 17:21:50,2019-06-28 17:21:42,0.017313,0.039158,"F",0.713631,1,"Val",0.565306,"DELTA",0.254462,"SDEV",0.180232
"Cakebread","RuthNorth",1561742720225,42,"TT_ProdRoom",1561742708037,"Float",63.675735,2019-06-28 17:25:20,2019-06-28 17:25:08,0.018466,0.037375,"F",0.713440,1,"Val",0.556211,"SDEV",0.233418,"DELTA",0.210371
"Cakebread","RuthNorth",1561745098752,121,"TT_ProdRoom",1561745083753,"Float",67.137870,2019-06-28 18:04:58,2019-06-28 18:04:43,0.008552,0.020065,"F",0.712984,2,"SDEV",0.415069,"DELTA",0.414114,"Val",0.170817
"Cakebread","RuthNorth",1561737142483,50,"TT_ProdRoom",1561737106324,"Float",62.348194,2019-06-28 15:52:22,2019-06-28 15:51:46,0.002383,0.005196,"F",0.712164,1,"Val",0.655257,"DELTA",0.200732,"SDEV",0.144011
"Cakebread","RuthNorth",1561745098752,121,"TT_ProdRoom",1561745088756,"Float",67.144806,2019-06-28 18:04:58,2019-06-28 18:04:48,0.008966,0.020566,"F",0.712110,2,"SDEV",0.415497,"DELTA",0.414575,"Val",0.169928
"Cakebread","RuthNorth",1561742600150,38,"TT_ProdRoom",1561742598006,"Float",63.859856,2019-06-28 17:23:20,2019-06-28 17:23:18,0.004641,0.010082,"F",0.711551,1,"Val",0.822014,"DELTA",0.106140,"SDEV",0.071846
"Cakebread","RuthNorth",1561748294665,227,"TT_ProdRoom",1561748284668,"Float",69.547880,2019-06-28 18:58:14,2019-06-28 18:58:04,0.015119,0.036760,"F",0.710874,2,"SDEV",0.415806,"DELTA",0.415272,"Val",0.168922
"Cakebread","RuthNorth",1561737082454,49,"TT_ProdRoom",1561737076316,"Float",62.365314,2019-06-28 15:51:22,2019-06-28 15:51:16,0.002018,0.004884,"F",0.710623,1,"Val",0.632979,"DELTA",0.208399,"SDEV",0.158623
"Cakebread","RuthNorth",1561745098752,121,"TT_ProdRoom",1561745093757,"Float",67.159225,2019-06-28 18:04:58,2019-06-28 18:04:53,0.012339,0.029029,"F",0.709939,2,"SDEV",0.416354,"DELTA",0.415469,"Val",0.168177
"Cakebread","RuthNorth",1561745128761,122,"TT_ProdRoom",1561745098759,"Float",67.168010,2019-06-28 18:05:28,2019-06-28 18:04:58,0.013651,0.030140,"F",0.708946,2,"SDEV",0.416898,"DELTA",0.416061,"Val",0.167041
"Cakebread","RuthNorth",1561748294665,227,"TT_ProdRoom",1561748269663,"Float",69.511120,2019-06-28 18:58:14,2019-06-28 18:57:49,0.005416,0.012005,"F",0.708639,2,"SDEV",0.418460,"DELTA",0.417791,"Val",0.163749
"Cakebread","RuthNorth",1561742177885,24,"TT_ProdRoom",1561742152884,"Float",63.077698,2019-06-28 17:16:17,2019-06-28 17:15:52,0.021542,0.044583,"F",0.708619,1,"DELTA",0.419882,"SDEV",0.413236,"Val",0.166882
"Cakebread","RuthNorth",1561736962396,47,"TT_ProdRoom",1561736926274,"Float",62.402060,2019-06-28 15:49:22,2019-06-28 15:48:46,0.001724,0.003496,"F",0.708515,1,"Val",0.585827,"DELTA",0.242996,"SDEV",0.171177
"Cakebread","RuthNorth",1561748294665,227,"TT_ProdRoom",1561748274665,"Float",69.528050,2019-06-28 18:58:14,2019-06-28 18:57:54,0.012001,0.028935,"F",0.708444,2,"SDEV",0.417253,"DELTA",0.416346,"Val",0.166401
"Cakebread","RuthNorth",1561748294665,227,"TT_ProdRoom",1561748279666,"Float",69.525604,2019-06-28 18:58:14,2019-06-28 18:57:59,0.013495,0.028935,"F",0.708134,2,"SDEV",0.417378,"DELTA",0.416528,"Val",0.166094
"Cakebread","RuthNorth",1561740147278,100,"TT_ProdRoom",1561740087274,"Float",62.374840,2019-06-28 16:42:27,2019-06-28 16:41:27,0.001931,0.004635,"F",0.708111,1,"Val",0.622245,"DELTA",0.215031,"SDEV",0.162725
"Cakebread","RuthNorth",1561745128761,122,"TT_ProdRoom",1561745103760,"Float",67.177440,2019-06-28 18:05:28,2019-06-28 18:05:03,0.013872,0.032634,"F",0.707961,2,"SDEV",0.417479,"DELTA",0.416711,"Val",0.165810
"Cakebread","RuthNorth",1561748294665,227,"TT_ProdRoom",1561748264662,"Float",69.499115,2019-06-28 18:58:14,2019-06-28 18:57:44,0.004135,0.010109,"F",0.707935,2,"SDEV",0.419335,"DELTA",0.418579,"Val",0.162086
"Cakebread","RuthNorth",1561736302064,36,"TT_ProdRoom",1561736291083,"Float",62.383545,2019-06-28 15:38:22,2019-06-28 15:38:11,0.001861,0.004299,"F",0.707579,1,"Val",0.611002,"DELTA",0.223293,"SDEV",0.165704
"Cakebread","RuthNorth",1561748234647,225,"TT_ProdRoom",1561748224650,"Float",69.379020,2019-06-28 18:57:14,2019-06-28 18:57:04,0.032051,0.077840,"F",0.707255,2,"DELTA",0.430379,"SDEV",0.424623,"Val",0.144998
"Cakebread","RuthNorth",1561745128761,122,"TT_ProdRoom",1561745108761,"Float",67.186170,2019-06-28 18:05:28,2019-06-28 18:05:08,0.011654,0.026945,"F",0.707026,2,"SDEV",0.418117,"DELTA",0.417200,"Val",0.164684
"Cakebread","RuthNorth",1561748264656,226,"TT_ProdRoom",1561748259660,"Float",69.509224,2019-06-28 18:57:44,2019-06-28 18:57:39,0.015209,0.033594,"F",0.706472,2,"SDEV",0.418403,"DELTA",0.417636,"Val",0.163961
"Cakebread","RuthNorth",1561745128761,122,"TT_ProdRoom",1561745113762,"Float",67.193306,2019-06-28 18:05:28,2019-06-28 18:05:13,0.010945,0.025296,"F",0.706337,2,"SDEV",0.418594,"DELTA",0.417656,"Val",0.163750
"Cakebread","RuthNorth",1561745128761,122,"TT_ProdRoom",1561745123766,"Float",67.203125,2019-06-28 18:05:28,2019-06-28 18:05:23,0.007306,0.016955,"F",0.706257,2,"SDEV",0.419313,"DELTA",0.418413,"Val",0.162274
"Cakebread","RuthNorth",1561736362096,37,"TT_ProdRoom",1561736361104,"Float",62.349888,2019-06-28 15:39:22,2019-06-28 15:39:21,0.002486,0.005292,"F",0.706155,1,"Val",0.658447,"DELTA",0.200229,"SDEV",0.141324
"Cakebread","RuthNorth",1561745128761,122,"TT_ProdRoom",1561745118765,"Float",67.198700,2019-06-28 18:05:28,2019-06-28 18:05:18,0.009206,0.021260,"F",0.706110,2,"SDEV",0.418983,"DELTA",0.418037,"Val",0.162980
"Cakebread","RuthNorth",1561745158770,123,"TT_ProdRoom",1561745128768,"Float",67.208660,2019-06-28 18:05:58,2019-06-28 18:05:28,0.006523,0.015354,"F",0.705976,2,"SDEV",0.419693,"DELTA",0.418805,"Val",0.161502
"Cakebread","RuthNorth",1561740147278,100,"TT_ProdRoom",1561740097277,"Float",62.377770,2019-06-28 16:42:27,2019-06-28 16:41:37,0.001979,0.004532,"F",0.705676,1,"Val",0.620422,"DELTA",0.218245,"SDEV",0.161333
"Cakebread","RuthNorth",1561745158770,123,"TT_ProdRoom",1561745133768,"Float",67.214350,2019-06-28 18:05:58,2019-06-28 18:05:33,0.006787,0.015650,"F",0.705288,2,"SDEV",0.420028,"DELTA",0.419169,"Val",0.160802
"Cakebread","RuthNorth",1561745158770,123,"TT_ProdRoom",1561745138770,"Float",67.219510,2019-06-28 18:05:58,2019-06-28 18:05:38,0.007082,0.016385,"F",0.704612,2,"SDEV",0.420351,"DELTA",0.419467,"Val",0.160182
"Cakebread","RuthNorth",1561748234647,225,"TT_ProdRoom",1561748219648,"Float",69.348920,2019-06-28 18:57:14,2019-06-28 18:56:59,0.034897,0.073660,"F",0.704463,2,"DELTA",0.429900,"SDEV",0.428567,"Val",0.141533
"Cakebread","RuthNorth",1561745158770,123,"TT_ProdRoom",1561745143772,"Float",67.224650,2019-06-28 18:05:58,2019-06-28 18:05:43,0.006861,0.015990,"F",0.704152,2,"SDEV",0.420685,"DELTA",0.419796,"Val",0.159519
"Cakebread","RuthNorth",1561740087259,99,"TT_ProdRoom",1561740057265,"Float",62.370650,2019-06-28 16:41:27,2019-06-28 16:40:57,0.002068,0.004879,"F",0.704138,1,"Val",0.631474,"DELTA",0.210436,"SDEV",0.158090
"Cakebread","RuthNorth",1561736422124,38,"TT_ProdRoom",1561736371107,"Float",62.344524,2019-06-28 15:40:22,2019-06-28 15:39:31,0.002597,0.005581,"F",0.703905,1,"Val",0.668151,"DELTA",0.194274,"SDEV",0.137575
"Cakebread","RuthNorth",1561745158770,123,"TT_ProdRoom",1561745148773,"Float",67.229670,2019-06-28 18:05:58,2019-06-28 18:05:48,0.006597,0.015320,"F",0.703748,2,"SDEV",0.421001,"DELTA",0.420136,"Val",0.158863
"Cakebread","RuthNorth",1561740507373,106,"TT_ProdRoom",1561740452373,"Float",62.286182,2019-06-28 16:48:27,2019-06-28 16:47:32,0.003687,0.007960,"F",0.703397,1,"Val",0.755106,"DELTA",0.144720,"SDEV",0.100174
"Cakebread","RuthNorth",1561745158770,123,"TT_ProdRoom",1561745153774,"Float",67.234380,2019-06-28 18:05:58,2019-06-28 18:05:53,0.006408,0.014870,"F",0.703343,2,"SDEV",0.421298,"DELTA",0.420446,"Val",0.158256
"Cakebread","RuthNorth",1561737082454,49,"TT_ProdRoom",1561737061311,"Float",62.363277,2019-06-28 15:51:22,2019-06-28 15:51:01,0.002200,0.005146,"F",0.703162,1,"Val",0.642514,"DELTA",0.204463,"SDEV",0.153023
"Cakebread","RuthNorth",1561745218788,125,"TT_ProdRoom",1561745203789,"Float",67.269080,2019-06-28 18:06:58,2019-06-28 18:06:43,0.001492,0.003470,"F",0.702903,2,"SDEV",0.423500,"DELTA",0.423205,"Val",0.153295
"Cakebread","RuthNorth",1561745188778,124,"TT_ProdRoom",1561745158777,"Float",67.239800,2019-06-28 18:06:28,2019-06-28 18:05:58,0.006478,0.015150,"F",0.702736,2,"SDEV",0.421642,"DELTA",0.420767,"Val",0.157591
"Cakebread","RuthNorth",1561737022427,48,"TT_ProdRoom",1561736971287,"Float",62.388325,2019-06-28 15:50:22,2019-06-28 15:49:31,0.001993,0.004108,"F",0.702583,1,"Val",0.608936,"DELTA",0.229592,"SDEV",0.161472
"Cakebread","RuthNorth",1561737382590,54,"TT_ProdRoom",1561737376394,"Float",62.384100,2019-06-28 15:56:22,2019-06-28 15:56:16,0.002035,0.004280,"F",0.702388,1,"Val",0.614771,"DELTA",0.225410,"SDEV",0.159819
